Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.014329,0.016111,0.013886,0.015130,0.015130,653800
2017-11-10,0.015162,0.015734,0.012645,0.012940,0.012940,296429
2017-11-11,0.013201,0.013616,0.011758,0.011979,0.011979,237865
2017-11-12,0.011975,0.011975,0.010125,0.010505,0.010505,242761
2017-11-13,0.010628,0.011660,0.010628,0.011330,0.011330,225836
2017-11-14,0.011343,0.011724,0.011052,0.011419,0.011419,244821
2017-11-15,0.011461,0.012014,0.011398,0.012002,0.012002,283268
2017-11-16,0.012013,0.012595,0.011742,0.011793,0.011793,357512
2017-11-17,0.011729,0.012085,0.011187,0.012028,0.012028,268762
2017-11-18,0.012021,0.013352,0.011435,0.013019,0.013019,370149
2017-11-19,0.012934,0.013975,0.012661,0.013099,0.013099,379424
2017-11-20,0.013092,0.013902,0.012942,0.013047,0.013047,327270
2017-11-21,0.013085,0.014050,0.012427,0.013202,0.013202,507625
2017-11-22,0.013226,0.013792,0.013035,0.013578,0.013578,330170
2017-11-23,0.013584,0.014663,0.013445,0.013840,0.013840,524765
2017-11-24,0.013783,0.019977,0.013465,0.015914,0.015914,3082120
2017-11-25,0.015747,0.016692,0.015158,0.015530,0.015530,818860
2017-11-26,0.015579,0.015924,0.015130,0.015593,0.015593,523645
2017-11-27,0.015604,0.017988,0.015505,0.017101,0.017101,1352180
2017-11-28,0.017111,0.019156,0.016443,0.018012,0.018012,1974130
2017-11-29,0.018168,0.018400,0.014617,0.015028,0.015028,965265
2017-11-30,0.015294,0.016486,0.013759,0.015271,0.015271,674593
2017-12-01,0.015283,0.016258,0.014383,0.016067,0.016067,555175
2017-12-02,0.016068,0.017344,0.015461,0.017071,0.017071,640646
2017-12-03,0.017085,0.018809,0.016420,0.017131,0.017131,898044
2017-12-04,0.017198,0.018302,0.016990,0.018302,0.018302,824746
2017-12-05,0.017964,0.024090,0.017556,0.023365,0.023365,2583390
2017-12-06,0.023098,0.085689,0.021446,0.058784,0.058784,63000500
2017-12-07,0.059387,0.106494,0.053165,0.060585,0.060585,107251000
2017-12-08,0.061238,0.061765,0.043557,0.050740,0.050740,30266500
2017-12-09,0.050576,0.058883,0.047793,0.053985,0.053985,12736600
2017-12-10,0.054225,0.089014,0.053360,0.075622,0.075622,64599000
2017-12-11,0.076764,0.085776,0.067725,0.073312,0.073312,25718700
2017-12-12,0.074668,0.094554,0.073531,0.084571,0.084571,43477900
2017-12-13,0.085565,0.125744,0.082115,0.122862,0.122862,78835104
2017-12-14,0.123384,0.148024,0.104536,0.130587,0.130587,98743504
2017-12-15,0.129096,0.131448,0.103128,0.105623,0.105623,53640700
2017-12-16,0.107021,0.117055,0.098238,0.099848,0.099848,44178300
2017-12-17,0.100363,0.112069,0.098358,0.105229,0.105229,30798500
2017-12-18,0.105416,0.120767,0.097714,0.118477,0.118477,35151500
2017-12-19,0.118614,0.119664,0.100394,0.106296,0.106296,26908500
2017-12-20,0.105879,0.129043,0.093448,0.116060,0.116060,39253200
2017-12-21,0.115505,0.127863,0.104379,0.108713,0.108713,31402900
2017-12-22,0.109197,0.111164,0.065969,0.086653,0.086653,13500100
2017-12-23,0.087317,0.102236,0.084269,0.089723,0.089723,13654300
2017-12-24,0.090083,0.090083,0.077836,0.086499,0.086499,15225600
2017-12-25,0.087198,0.094342,0.085768,0.091349,0.091349,23472400
2017-12-26,0.091237,0.097212,0.082629,0.085546,0.085546,22235900
2017-12-27,0.086170,0.089305,0.080489,0.082855,0.082855,22112000
2017-12-28,0.082601,0.089407,0.075512,0.087903,0.087903,25564800
2017-12-29,0.088592,0.098000,0.084899,0.089106,0.089106,27314200
2017-12-30,0.089502,0.102936,0.083959,0.097538,0.097538,31693900
2017-12-31,0.098049,0.106479,0.093250,0.101999,0.101999,22450300
2018-01-01,0.102747,0.106128,0.094546,0.100121,0.100121,26634900
2018-01-02,0.099992,0.112094,0.099742,0.105317,0.105317,38891400
2018-01-03,0.104998,0.181478,0.099534,0.155900,0.155900,87955800
2018-01-04,0.155405,0.208451,0.142350,0.200037,0.200037,67030700
2018-01-05,0.197908,0.208720,0.155591,0.165527,0.165527,51203300
2018-01-06,0.166266,0.190787,0.165783,0.183012,0.183012,52641200
2018-01-07,0.182177,0.256540,0.182177,0.231282,0.231282,97849904
2018-01-08,0.232708,0.239943,0.169339,0.230949,0.230949,66688700
2018-01-09,0.230420,0.288857,0.230420,0.249264,0.249264,106775000
2018-01-10,0.251296,0.257693,0.200469,0.210136,0.210136,55184500
