eid,pid,x,y
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921579,-150,43
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921580,-150,44
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921581,-150,45
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921582,-150,46
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921583,-150,47
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921584,-150,48
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921585,-150,49
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921586,-150,50
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921587,-150,51
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921588,-150,52
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921589,-150,53
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921590,-150,54
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921591,-150,55
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921592,-150,56
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921593,-150,57
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921594,-150,58
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921595,-150,59
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921596,-150,60
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133035,-149,43
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133036,-149,44
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133037,-149,45
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133038,-149,46
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133039,-149,47
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133040,-149,48
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133041,-149,49
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133042,-149,50
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133043,-149,51
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133044,-149,52
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133045,-149,53
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133046,-149,54
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133047,-149,55
