category,price,id,buyer,updatedAt,nft,updatedAt_dt,parcels,estate_id
estate,99999.99999999999,0xfa823daaf8ce6d40950d95fa407151b9d64e17e717e579ede758e4f36a4eacec,0x0f08f5cf0905498ac6a8b5ff3d4c2acb5ff447f7,1539280016,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-3', 'parcels': [{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907819582030340467656156583497872168076705685', 'x': '-100', 'y': '-107'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907819922312707388594620046872479599844917141', 'x': '-99', 'y': '-107'}]}}",2018-10-11,"[(-100, -107), (-99, -107)]",estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-3
estate,99999.99999999999,0xf52546e4d2fd7701ef16a36e199b596201fdc606600919f2acdab087cf1db329,0xef38f892e4722152fd8edb50cd84a96344fd47ce,1539280356,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-3', 'parcels': [{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907819582030340467656156583497872168076705685', 'x': '-100', 'y': '-107'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907819922312707388594620046872479599844917141', 'x': '-99', 'y': '-107'}]}}",2018-10-11,"[(-100, -107), (-99, -107)]",estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-3
estate,525000.0,0x0910cb1099a4e8a33e153b74aabfd9e5541c0ecde78b014fee42da2c38629441,0x11f961e66bae258b09bf844b237447a973a960e8,1539350213,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-499', 'parcels': [{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13611294676837538538534984297270728458304', 'x': '40', 'y': '64'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13611294676837538538534984297270728458305', 'x': '40', 'y': '65'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13611294676837538538534984297270728458306', 'x': '40', 'y': '66'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13611294676837538538534984297270728458307', 'x': '40', 'y': '67'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13611294676837538538534984297270728458308', 'x': '40', 'y': '68'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13951577043758477001998358904702496669760', 'x': '41', 'y': '64'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13951577043758477001998358904702496669761', 'x': '41', 'y': '65'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13951577043758477001998358904702496669762', 'x': '41', 'y': '66'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13951577043758477001998358904702496669763', 'x': '41', 'y': '67'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-13951577043758477001998358904702496669764', 'x': '41', 'y': '68'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14291859410679415465461733512134264881216', 'x': '42', 'y': '64'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14291859410679415465461733512134264881217', 'x': '42', 'y': '65'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14291859410679415465461733512134264881218', 'x': '42', 'y': '66'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14291859410679415465461733512134264881219', 'x': '42', 'y': '67'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14291859410679415465461733512134264881220', 'x': '42', 'y': '68'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14632141777600353928925108119566033092672', 'x': '43', 'y': '64'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14632141777600353928925108119566033092673', 'x': '43', 'y': '65'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14632141777600353928925108119566033092674', 'x': '43', 'y': '66'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14972424144521292392388482726997801304128', 'x': '44', 'y': '64'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14972424144521292392388482726997801304129', 'x': '44', 'y': '65'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14972424144521292392388482726997801304130', 'x': '44', 'y': '66'}]}}",2018-10-12,"[(40, 64), (40, 65), (40, 66), (40, 67), (40, 68), (41, 64), (41, 65), (41, 66), (41, 67), (41, 68), (42, 64), (42, 65), (42, 66), (42, 67), (42, 68), (43, 64), (43, 65), (43, 66), (44, 64), (44, 65), (44, 66)]",estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-499
estate,99000.0,0xd70c22996842eb0e9898d604a5f9c6cbe54b9fea26a78b70a972dc73b826119b,0x0ed1c03d04c1fbb33a0f25ef6147ab5a73d811a7,1539364639,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-526', 'parcels': []}}",2018-10-12,[],estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-526
estate,33999.0,0xc166dc81d57408d3f78561d23a628bf203d873c82e62972e22d8e346f78b8680,0xf902d068920234957d2908b8b0156e61c0bea2c2,1539372861,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-579', 'parcels': []}}",2018-10-12,[],estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-579
estate,47985.0,0xaf5dfd8134d9893abad654b561e0b6fafd0fd242c3139c31a2855db03eeb43f9,0x7279532c307c140d5594142eee1efc6523c529ed,1539410770,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-571', 'parcels': [{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14632141777600353928925108119566033092490', 'x': '42', 'y': '-118'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-14972424144521292392388482726997801303946', 'x': '43', 'y': '-118'}]}}",2018-10-13,"[(42, -118), (43, -118)]",estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-571
estate,44900.0,0x66cababfaefd52bace9deeb6eaa2b63a961f2817ec9490f73e858db7c39be564,0x7279532c307c140d5594142eee1efc6523c529ed,1539414090,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-594', 'parcels': []}}",2018-10-13,[],estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-594
estate,62000.00000000001,0xbc90475c1cf87a49921e818f0af495ed2f1d47b955040ab5afd6da7efbaa8fc6,0x9fbc65a78e12c66d6dd014f85ce742acba1da45d,1539417013,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-595', 'parcels': []}}",2018-10-13,[],estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-595
estate,250000.0,0x46de4c2aa9432fa99250538e1b9550cbfaeae3919d2902f103d532f5a1e3bc58,0xc4cca7049fba013313f57e0139b954913d541ad2,1539417715,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-110', 'parcels': [{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-3062541302288446171170371466885913903172', 'x': '9', 'y': '68'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-3062541302288446171170371466885913903173', 'x': '9', 'y': '69'}, {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-3062541302288446171170371466885913903174', 'x': '9', 'y': '70'}]}}",2018-10-13,"[(9, 68), (9, 69), (9, 70)]",estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-110
estate,149000.0,0xa55f26d05698b347cead9249e1023cb2fc3c2415616699c58b87d72605d51786,0x474543b99438a978b39d39d8983723eb5ff9196b,1539460596,"{'estate': {'id': 'estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-589', 'parcels': []}}",2018-10-13,[],estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-589
