eid,pid,x,y
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1020847100762815390390123822295304634420,3,52
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1020847100762815390390123822295304634421,3,53
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1020847100762815390390123822295304634422,3,54
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1020847100762815390390123822295304634425,3,57
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1361129467683753853853498429727072845876,4,52
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1361129467683753853853498429727072845877,4,53
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1361129467683753853853498429727072845878,4,54
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1361129467683753853853498429727072845879,4,55
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1361129467683753853853498429727072845880,4,56
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1361129467683753853853498429727072845881,4,57
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1701411834604692317316873037158841057332,5,52
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1701411834604692317316873037158841057333,5,53
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1701411834604692317316873037158841057334,5,54
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1701411834604692317316873037158841057335,5,55
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1701411834604692317316873037158841057336,5,56
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-1701411834604692317316873037158841057337,5,57
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2041694201525630780780247644590609268788,6,52
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2041694201525630780780247644590609268789,6,53
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2041694201525630780780247644590609268790,6,54
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2041694201525630780780247644590609268791,6,55
